licenseId,name,isOsiApproved,isDeprecatedLicenseId,risk_level,is_safe
3D-Slicer-1.0,3D Slicer License v1.0,False,False,DANGEROUS,0
ADSL,Amazon Digital Services License,False,False,DANGEROUS,0
AGPL-1.0,Affero General Public License v1.0,False,True,DANGEROUS,0
AGPL-3.0,GNU Affero General Public License v3.0,True,True,DANGEROUS,0
AMD-newlib,AMD newlib License,False,False,DANGEROUS,0
AMDPLPA,AMD's plpa_map.c License,False,False,DANGEROUS,0
AML-glslang,AML glslang variant License,False,False,DANGEROUS,0
ANTLR-PD,ANTLR Software Rights Notice,False,False,DANGEROUS,0
ANTLR-PD-fallback,ANTLR Software Rights Notice with license fallback,False,False,DANGEROUS,0
APAFML,Adobe Postscript AFM License,False,False,DANGEROUS,0
ASWF-Digital-Assets-1.0,ASWF Digital Assets License version 1.0,False,False,DANGEROUS,0
ASWF-Digital-Assets-1.1,ASWF Digital Assets License 1.1,False,False,DANGEROUS,0
Abstyles,Abstyles License,False,False,DANGEROUS,0
AdaCore-doc,AdaCore Doc License,False,False,DANGEROUS,0
Adobe-2006,Adobe Systems Incorporated Source Code License Agreement,False,False,DANGEROUS,0
Adobe-Display-PostScript,Adobe Display PostScript License,False,False,DANGEROUS,0
Adobe-Glyph,Adobe Glyph List License,False,False,DANGEROUS,0
Adobe-Utopia,Adobe Utopia Font License,False,False,DANGEROUS,0
Advanced-Cryptics-Dictionary,Advanced Cryptics Dictionary License,False,False,DANGEROUS,0
Afmparse,Afmparse License,False,False,DANGEROUS,0
Aladdin,Aladdin Free Public License,False,False,DANGEROUS,0
App-s2p,App::s2p License,False,False,DANGEROUS,0
Arphic-1999,Arphic Public License,False,False,DANGEROUS,0
Artistic-dist,Artistic License 1.0 (dist),False,False,DANGEROUS,0
Aspell-RU,Aspell Russian License,False,False,DANGEROUS,0
BSD-2-Clause-FreeBSD,BSD 2-Clause FreeBSD License,False,True,DANGEROUS,0
BSD-2-Clause-NetBSD,BSD 2-Clause NetBSD License,False,True,DANGEROUS,0
BUSL-1.1,Business Source License 1.1,False,False,DANGEROUS,0
Baekmuk,Baekmuk License,False,False,DANGEROUS,0
Bahyph,Bahyph License,False,False,DANGEROUS,0
Barr,Barr License,False,False,DANGEROUS,0
Beerware,Beerware License,False,False,DANGEROUS,0
BitTorrent-1.0,BitTorrent Open Source License v1.0,False,False,DANGEROUS,0
BitTorrent-1.1,BitTorrent Open Source License v1.1,False,False,DANGEROUS,0
Bitstream-Charter,Bitstream Charter Font License,False,False,DANGEROUS,0
Bitstream-Vera,Bitstream Vera Font License,False,False,DANGEROUS,0
Boehm-GC,Boehm-Demers-Weiser GC License,False,False,DANGEROUS,0
Boehm-GC-without-fee,Boehm-Demers-Weiser GC License (without fee),False,False,DANGEROUS,0
Borceux,Borceux license,False,False,DANGEROUS,0
Brian-Gladman-2-Clause,Brian Gladman 2-Clause License,False,False,DANGEROUS,0
Brian-Gladman-3-Clause,Brian Gladman 3-Clause License,False,False,DANGEROUS,0
Buddy,Buddy License,False,False,DANGEROUS,0
C-UDA-1.0,Computational Use of Data Agreement v1.0,False,False,DANGEROUS,0
CC-BY-1.0,Creative Commons Attribution 1.0 Generic,False,False,DANGEROUS,0
CC-BY-2.0,Creative Commons Attribution 2.0 Generic,False,False,DANGEROUS,0
CC-BY-2.5,Creative Commons Attribution 2.5 Generic,False,False,DANGEROUS,0
CC-BY-2.5-AU,Creative Commons Attribution 2.5 Australia,False,False,DANGEROUS,0
CC-BY-3.0,Creative Commons Attribution 3.0 Unported,False,False,DANGEROUS,0
CC-BY-3.0-AT,Creative Commons Attribution 3.0 Austria,False,False,DANGEROUS,0
CC-BY-3.0-AU,Creative Commons Attribution 3.0 Australia,False,False,DANGEROUS,0
CC-BY-3.0-DE,Creative Commons Attribution 3.0 Germany,False,False,DANGEROUS,0
CC-BY-3.0-IGO,Creative Commons Attribution 3.0 IGO,False,False,DANGEROUS,0
CC-BY-3.0-NL,Creative Commons Attribution 3.0 Netherlands,False,False,DANGEROUS,0
CC-BY-3.0-US,Creative Commons Attribution 3.0 United States,False,False,DANGEROUS,0
CC-BY-4.0,Creative Commons Attribution 4.0 International,False,False,DANGEROUS,0
CC-BY-NC-1.0,Creative Commons Attribution Non Commercial 1.0 Generic,False,False,DANGEROUS,0
CC-BY-NC-2.0,Creative Commons Attribution Non Commercial 2.0 Generic,False,False,DANGEROUS,0
CC-BY-NC-2.5,Creative Commons Attribution Non Commercial 2.5 Generic,False,False,DANGEROUS,0
CC-BY-NC-3.0,Creative Commons Attribution Non Commercial 3.0 Unported,False,False,DANGEROUS,0
CC-BY-NC-3.0-DE,Creative Commons Attribution Non Commercial 3.0 Germany,False,False,DANGEROUS,0
CC-BY-NC-4.0,Creative Commons Attribution Non Commercial 4.0 International,False,False,DANGEROUS,0
CC-BY-NC-ND-1.0,Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic,False,False,DANGEROUS,0
CC-BY-NC-ND-2.0,Creative Commons Attribution Non Commercial No Derivatives 2.0 Generic,False,False,DANGEROUS,0
CC-BY-NC-ND-2.5,Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic,False,False,DANGEROUS,0
CC-BY-NC-ND-3.0,Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported,False,False,DANGEROUS,0
CC-BY-NC-ND-3.0-DE,Creative Commons Attribution Non Commercial No Derivatives 3.0 Germany,False,False,DANGEROUS,0
CC-BY-NC-ND-3.0-IGO,Creative Commons Attribution Non Commercial No Derivatives 3.0 IGO,False,False,DANGEROUS,0
CC-BY-NC-ND-4.0,Creative Commons Attribution Non Commercial No Derivatives 4.0 International,False,False,DANGEROUS,0
CC-BY-NC-SA-1.0,Creative Commons Attribution Non Commercial Share Alike 1.0 Generic,False,False,DANGEROUS,0
CC-BY-NC-SA-2.0,Creative Commons Attribution Non Commercial Share Alike 2.0 Generic,False,False,DANGEROUS,0
CC-BY-NC-SA-2.0-DE,Creative Commons Attribution Non Commercial Share Alike 2.0 Germany,False,False,DANGEROUS,0
CC-BY-NC-SA-2.0-FR,Creative Commons Attribution-NonCommercial-ShareAlike 2.0 France,False,False,DANGEROUS,0
CC-BY-NC-SA-2.0-UK,Creative Commons Attribution Non Commercial Share Alike 2.0 England and Wales,False,False,DANGEROUS,0
CC-BY-NC-SA-2.5,Creative Commons Attribution Non Commercial Share Alike 2.5 Generic,False,False,DANGEROUS,0
CC-BY-NC-SA-3.0,Creative Commons Attribution Non Commercial Share Alike 3.0 Unported,False,False,DANGEROUS,0
CC-BY-NC-SA-3.0-DE,Creative Commons Attribution Non Commercial Share Alike 3.0 Germany,False,False,DANGEROUS,0
CC-BY-NC-SA-3.0-IGO,Creative Commons Attribution Non Commercial Share Alike 3.0 IGO,False,False,DANGEROUS,0
CC-BY-NC-SA-4.0,Creative Commons Attribution Non Commercial Share Alike 4.0 International,False,False,DANGEROUS,0
CC-BY-ND-1.0,Creative Commons Attribution No Derivatives 1.0 Generic,False,False,DANGEROUS,0
CC-BY-ND-2.0,Creative Commons Attribution No Derivatives 2.0 Generic,False,False,DANGEROUS,0
CC-BY-ND-2.5,Creative Commons Attribution No Derivatives 2.5 Generic,False,False,DANGEROUS,0
CC-BY-ND-3.0,Creative Commons Attribution No Derivatives 3.0 Unported,False,False,DANGEROUS,0
CC-BY-ND-3.0-DE,Creative Commons Attribution No Derivatives 3.0 Germany,False,False,DANGEROUS,0
CC-BY-ND-4.0,Creative Commons Attribution No Derivatives 4.0 International,False,False,DANGEROUS,0
CC-BY-SA-1.0,Creative Commons Attribution Share Alike 1.0 Generic,False,False,DANGEROUS,0
CC-BY-SA-2.0,Creative Commons Attribution Share Alike 2.0 Generic,False,False,DANGEROUS,0
CC-BY-SA-2.0-UK,Creative Commons Attribution Share Alike 2.0 England and Wales,False,False,DANGEROUS,0
CC-BY-SA-2.1-JP,Creative Commons Attribution Share Alike 2.1 Japan,False,False,DANGEROUS,0
CC-BY-SA-2.5,Creative Commons Attribution Share Alike 2.5 Generic,False,False,DANGEROUS,0
CC-BY-SA-3.0,Creative Commons Attribution Share Alike 3.0 Unported,False,False,DANGEROUS,0
CC-BY-SA-3.0-AT,Creative Commons Attribution Share Alike 3.0 Austria,False,False,DANGEROUS,0
CC-BY-SA-3.0-DE,Creative Commons Attribution Share Alike 3.0 Germany,False,False,DANGEROUS,0
CC-BY-SA-3.0-IGO,Creative Commons Attribution-ShareAlike 3.0 IGO,False,False,DANGEROUS,0
CC-BY-SA-4.0,Creative Commons Attribution Share Alike 4.0 International,False,False,DANGEROUS,0
CC-PDDC,Creative Commons Public Domain Dedication and Certification,False,False,DANGEROUS,0
CC-PDM-1.0,Creative    Commons Public Domain Mark 1.0 Universal,False,False,DANGEROUS,0
CC-SA-1.0,Creative Commons Share Alike 1.0 Generic,False,False,DANGEROUS,0
CC0-1.0,Creative Commons Zero v1.0 Universal,False,False,DANGEROUS,0
CDL-1.0,Common Documentation License 1.0,False,False,DANGEROUS,0
CDLA-Sharing-1.0,Community Data License Agreement Sharing 1.0,False,False,DANGEROUS,0
CECILL-1.0,CeCILL Free Software License Agreement v1.0,False,False,DANGEROUS,0
CECILL-1.1,CeCILL Free Software License Agreement v1.1,False,False,DANGEROUS,0
CECILL-2.0,CeCILL Free Software License Agreement v2.0,False,False,DANGEROUS,0
CECILL-B,CeCILL-B Free Software License Agreement,False,False,DANGEROUS,0
CECILL-C,CeCILL-C Free Software License Agreement,False,False,DANGEROUS,0
CERN-OHL-1.1,CERN Open Hardware Licence v1.1,False,False,DANGEROUS,0
CERN-OHL-1.2,CERN Open Hardware Licence v1.2,False,False,DANGEROUS,0
CFITSIO,CFITSIO License,False,False,DANGEROUS,0
CMU-Mach,CMU Mach License,False,False,DANGEROUS,0
CMU-Mach-nodoc,CMU    Mach - no notices-in-documentation variant,False,False,DANGEROUS,0
