licenseId,name,isOsiApproved,isDeprecatedLicenseId,risk_level,is_safe,risk_explanation_ar
3D-Slicer-1.0,3D Slicer License v1.0,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
ADSL,Amazon Digital Services License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
AGPL-1.0,Affero General Public License v1.0,False,True,DANGEROUS,0,ترخيص قديم ومُلغى رسميًا من SPDX – ممنوع استخدامه
AGPL-3.0,GNU Affero General Public License v3.0,True,True,DANGEROUS,0,ترخيص قديم ومُلغى رسميًا من SPDX – ممنوع استخدامه
AMD-newlib,AMD newlib License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
AMDPLPA,AMD's plpa_map.c License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
AML-glslang,AML glslang variant License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
ANTLR-PD,ANTLR Software Rights Notice,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
ANTLR-PD-fallback,ANTLR Software Rights Notice with license fallback,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
APAFML,Adobe Postscript AFM License,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
ASWF-Digital-Assets-1.0,ASWF Digital Assets License version 1.0,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
ASWF-Digital-Assets-1.1,ASWF Digital Assets License 1.1,False,False,DANGEROUS,0,ترخيص غير معروف أو مخصص أو غير موثوق – ممنوع استخدامه بدون موافقة Legal
