license_text,type
3D Slicer License v1.0,original
license license 3D Slicer License v1.0,augmented
3D slicer license v1.0,augmented
3D License v1.0,augmented
Amazon Digital Services License,original
amazon Amazon Digital Services digital License,augmented
Amazon digital services License,augmented
Amazon Digital Services License,augmented
Affero General Public License v1.0,original
Affero General Public License v1.0,augmented
Affero General populace license v1.0,augmented
GNU Affero General Public License v3.0,original
GNU General License v3.0,augmented
gnu Affero general Public License v3.0,augmented
GNU Affero general General Public License v3.0,augmented
AMD newlib License,original
AMD newlib license License,augmented
age-related_macular_degeneration newlib license,augmented
AMD newlib License,augmented
AMD's plpa_map.c License,original
AMD's plpa_map.c license,augmented
AMD's plpa_map.c license License,augmented
plpa_map.c License,augmented
AML glslang variant License,original
AML license glslang variant License,augmented
AML glslang discrepancy license,augmented
AML glslang variant License,augmented
ANTLR Software Rights Notice,original
ANTLR Software notice Rights Notice,augmented
ANTLR software Rights notice,augmented
Software Notice,augmented
ANTLR Software Rights Notice with license fallback,original
ANTLR right Software Rights Notice with license fallback,augmented
ANTLR software Rights Notice with license disengagement,augmented
ANTLR Software Rights Notice with license fallback,augmented
Adobe Postscript AFM License,original
Adobe postscript AFM license,augmented
Adobe Postscript AFM License,augmented
Adobe Postscript postscript AFM License,augmented
ASWF Digital Assets License version 1.0,original
ASWF Digital Assets License version assets 1.0,augmented
ASWF Digital assets license version 1.0,augmented
Assets License version 1.0,augmented
ASWF Digital Assets License 1.1,original
ASWF Digital Assets License 1.1,augmented
ASWF digital Digital Assets License 1.1 license,augmented
ASWF digital Assets license 1.1,augmented
Abstyles License,original
Abstyles License,augmented
Abstyles license,augmented
AdaCore Doc License,original
AdaCore doctor license,augmented
doctor AdaCore Doc License,augmented
AdaCore Doc License,augmented
Adobe Systems Incorporated Source Code License Agreement,original
Source Code License Agreement,augmented
adobe Systems Incorporated Source Code license Agreement,augmented
Adobe Systems Incorporated Source Code License adobe system Agreement,augmented
Adobe Display PostScript License,original
adobe Adobe Display postscript PostScript License,augmented
adobe display PostScript License,augmented
Adobe PostScript License,augmented
Adobe Glyph List License,original
